age(kyr) mean(permil) sigma(permil)
62.300000 4.577849 0.116789
62.400000 4.589406 0.116403
62.500000 4.600182 0.115691
62.600000 4.610451 0.114972
62.700000 4.619963 0.114334
62.800000 4.628644 0.113658
62.900000 4.636470 0.113025
63.000000 4.643282 0.112477
63.100000 4.649352 0.111748
63.200000 4.654678 0.111027
63.300000 4.659099 0.110255
63.400000 4.662818 0.109513
63.500000 4.665425 0.108707
63.600000 4.667106 0.108036
63.700000 4.668339 0.107269
63.800000 4.669294 0.106542
63.900000 4.669414 0.105855
64.000000 4.669033 0.105421
64.100000 4.668059 0.105181
64.200000 4.666746 0.105018
64.300000 4.665211 0.104930
64.400000 4.663807 0.104847
64.500000 4.662487 0.104717
64.600000 4.660831 0.104665
64.700000 4.659170 0.104661
64.800000 4.657292 0.104716
64.900000 4.655455 0.104860
65.000000 4.653778 0.105172
65.100000 4.652540 0.105538
65.200000 4.651219 0.105734
65.300000 4.649550 0.106007
65.400000 4.647808 0.106115
65.500000 4.645928 0.106031
65.600000 4.644112 0.105830
65.700000 4.642060 0.105553
65.800000 4.639846 0.105339
65.900000 4.637482 0.105108
66.000000 4.634899 0.104849
66.100000 4.631694 0.104604
66.200000 4.628373 0.104358
66.300000 4.625090 0.104023
66.400000 4.621871 0.103722
66.500000 4.618496 0.103582
66.600000 4.614900 0.103674
66.700000 4.611207 0.103756
66.800000 4.607825 0.104094
66.900000 4.604236 0.104455
67.000000 4.600430 0.105033
67.100000 4.596699 0.105911
67.200000 4.592998 0.106989
67.300000 4.588738 0.108287
67.400000 4.584355 0.109819
67.500000 4.579714 0.111595
67.600000 4.574844 0.113692
67.700000 4.570011 0.116031
67.800000 4.564818 0.118686
67.900000 4.559107 0.121584
68.000000 4.553237 0.124816
68.100000 4.547086 0.128280
68.200000 4.540271 0.131716
68.300000 4.533155 0.135424
68.400000 4.525773 0.139275
68.500000 4.517806 0.143293
68.600000 4.509248 0.147398
68.700000 4.500256 0.151530
68.800000 4.491012 0.155678
68.900000 4.481395 0.159793
69.000000 4.471312 0.163820
69.100000 4.460833 0.167786
69.200000 4.450190 0.171732
69.300000 4.439106 0.175492
69.400000 4.427865 0.179067
69.500000 4.416661 0.182494
69.600000 4.405341 0.185748
69.700000 4.394008 0.188683
69.800000 4.382700 0.191275
69.900000 4.371375 0.193570
70.000000 4.360225 0.195549
70.100000 4.349258 0.197172
70.200000 4.338429 0.198416
70.300000 4.327821 0.199386
70.400000 4.317411 0.200066
70.500000 4.307139 0.200450
70.600000 4.296932 0.200601
70.700000 4.286685 0.200498
70.800000 4.276673 0.200179
70.900000 4.266924 0.199552
71.000000 4.257411 0.198705
71.100000 4.248256 0.197739
71.200000 4.239533 0.196641
71.300000 4.231725 0.195403
71.400000 4.225183 0.193988
71.500000 4.220180 0.192411
71.600000 4.216899 0.190772
71.700000 4.214978 0.189063
71.800000 4.214697 0.187306
71.900000 4.215850 0.185462
72.000000 4.218866 0.183621
72.100000 4.223727 0.181818
72.200000 4.230104 0.180016
72.300000 4.237374 0.178192
72.400000 4.244885 0.176420
72.500000 4.252274 0.174676
72.600000 4.259357 0.172918
72.700000 4.265888 0.171208
72.800000 4.271570 0.169577
72.900000 4.275942 0.168033
73.000000 4.278604 0.166611
73.100000 4.279541 0.165347
73.200000 4.278787 0.164163
73.300000 4.276083 0.163153
73.400000 4.271972 0.162283
73.500000 4.266238 0.161503
73.600000 4.258728 0.160736
73.700000 4.249989 0.159971
73.800000 4.239707 0.159361
73.900000 4.228278 0.158886
74.000000 4.215401 0.158517
74.100000 4.201137 0.158227
74.200000 4.185665 0.157949
74.300000 4.168912 0.157717
74.400000 4.150972 0.157467
74.500000 4.131991 0.157198
74.600000 4.111879 0.156763
74.700000 4.090966 0.156117
74.800000 4.069802 0.155302
74.900000 4.049117 0.154083
75.000000 4.028996 0.152684
75.100000 4.009839 0.150985
75.200000 3.992305 0.149115
75.300000 3.977196 0.146892
75.400000 3.964353 0.144668
75.500000 3.954441 0.142490
75.600000 3.947597 0.140435
75.700000 3.943343 0.138481
75.800000 3.941761 0.136716
75.900000 3.942151 0.135269
76.000000 3.944740 0.134032
76.100000 3.949796 0.132920
76.200000 3.956717 0.131949
76.300000 3.965189 0.131130
76.400000 3.974625 0.130451
