age(kyr) mean(permil) sigma(permil)
57.200000 4.284398 0.179940
57.300000 4.284206 0.181247
57.400000 4.284018 0.182547
57.500000 4.283864 0.183828
57.600000 4.283710 0.185107
57.700000 4.283606 0.186384
57.800000 4.283502 0.187649
57.900000 4.283392 0.188909
58.000000 4.283268 0.190177
58.100000 4.283143 0.191434
58.200000 4.283019 0.192681
58.300000 4.282894 0.193917
58.400000 4.282768 0.195153
58.500000 4.282716 0.196382
58.600000 4.282666 0.197602
58.700000 4.282654 0.198808
58.800000 4.282642 0.200004
58.900000 4.282622 0.201201
59.000000 4.282557 0.202400
59.100000 4.282493 0.203590
59.200000 4.282449 0.204777
59.300000 4.282405 0.205954
59.400000 4.282360 0.207124
59.500000 4.282304 0.208293
59.600000 4.282248 0.209453
59.700000 4.282192 0.210606
59.800000 4.282136 0.211751
59.900000 4.282081 0.212889
60.000000 4.282025 0.214019
